legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo_without_replacement | p=0.7 | alpha=0.058559570312499996,29.0,39.0,47.0,49.0,57.0,64.0,72.0,82.0,97.0,152.0,210.0,172.0,110.0,74.0,57.0,47.0
bravo_without_replacement | p=0.55 | alpha=0.058559570312499996,232.0,383.0,568.0,645.0,687.0,687.0,647.0,568.0,471.0,316.0,230.0,179.0,148.0,125.0,108.0,95.0
bravo_without_replacement | p=0.52 | alpha=0.14928906249999999,463.0,735.0,829.0,839.0,829.0,796.0,735.0,646.0,546.0,396.0,307.0,250.0,209.0,181.0,156.0,140.0
