legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo_without_replacement | p=0.7 | alpha=0.058559570312499996,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,167.0,64.0,44.0,34.0,27.0,22.0,19.0,16.0
bravo_without_replacement | p=0.55 | alpha=0.058559570312499996,1000.0,1000.0,1000.0,1000.0,840.0,463.0,326.0,255.0,211.0,156.0,127.0,106.0,91.0,78.0,72.0,66.0
bravo_without_replacement | p=0.51 | alpha=0.326845703125,1000.0,1000.0,1000.0,1000.0,838.0,619.0,493.0,410.0,354.0,278.0,225.0,193.0,169.0,149.0,135.0,123.0
