legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo_without_replacement | p=0.7 | alpha=0.05,50.0,70.0,90.0,100.0,110.0,120.0,140.0,160.0,190.0,290.0,340.0,310.0,230.0,150.0,110.0,80.0
bravo_without_replacement | p=0.55 | alpha=0.05,320.0,430.0,460.0,470.0,470.0,470.0,470.0,460.0,450.0,400.0,310.0,250.0,200.0,170.0,140.0,120.0
bravo_without_replacement | p=0.51 | alpha=0.05,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,490.0,460.0,410.0
