,,0.5,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo_without_replacement | p=0.7 | min_stop=50 | alpha=1,50,0.05946022627971814,0.011598158575479968,0.03268241480810471,0.05946022627971814,0.07812428655280483,0.10092441527483374,0.12824311010367523,0.16035084761592625,0.1973679381464911,0.23923122752061107,0.3361930216456539,0.4464763792105424,0.5623510009004419,0.6745400572118052,0.7742841367876518,0.8553425155448782,0.9151974014461743
bravo_without_replacement | p=0.7 | min_stop=50 | alpha=1,51,0.020929574626276093,0.005371949206084907,0.012937054628101899,0.020929574626276093,0.025815898225676176,0.031204597195195187,0.03696573084544634,0.04291937299877963,0.04884091938010752,0.05447190297200225,0.0637593365107244,0.06873513169771439,0.0680933165546669,0.06179016992137422,0.05113644390216341,0.03837655983443535,0.02592713419330694
bravo_without_replacement | p=0.7 | min_stop=50 | alpha=1,53,0.012707241737381914,0.003228925183514607,0.007842072885423141,0.012707241737381914,0.015667668633162872,0.01891533525980746,0.022362682915887368,0.0258914183284638,0.029356881184543195,0.032595986738446145,0.037720023479744555,0.040062762475239246,0.03896105020925026,0.034574248221148365,0.02786790088542471,0.020280367162791888,0.01322283843858654
bravo_without_replacement | p=0.7 | min_stop=50 | alpha=1,56,0.005342817548671941,0.0012096360968741598,0.0031602812295909726,0.005342817548671941,0.006716605626021369,0.008257926379955852,0.009930761273123215,0.011681812517232033,0.013441781972372717,0.015128710132941535,0.017926118824002496,0.019404945315279518,0.019142853224375214,0.017148424799164834,0.013882896448290256,0.010093752602611604,0.0065380925697701995
bravo_without_replacement | p=0.7 | min_stop=50 | alpha=1,58,0.0061699811350850176,0.0013829402766874852,0.003643709932050669,0.0061699811350850176,0.007753353562045723,0.009521142639790568,0.01142693490112063,0.013404027406934662,0.01536758181082937,0.017219323653150355,0.020171446306071292,0.02151281035046687,0.020833173912449435,0.018250727963364403,0.014390517786766846,0.010145770418609267,0.006342257106076379
bravo_without_replacement | p=0.7 | min_stop=50 | alpha=1,61,0.003192408039924188,0.0006375521122646685,0.0018069833942764935,0.003192408039924188,0.004090256728185885,0.005115187326268991,0.0062445895374438395,0.007442266287332758,0.008659004658376275,0.009834886817062178,0.011796871879565162,0.012822838941983597,0.012596415035214512,0.01113953820212679,0.008822014260246543,0.00621408774289483,0.003859097269326814
bravo_without_replacement | p=0.7 | min_stop=50 | alpha=1,63,0.004008049998820162,0.0007924385929820456,0.002265027444237232,0.004008049998820162,0.005133239763917813,0.006411813032212574,0.0078118222103146125,0.00928392284791031,0.010762617417633383,0.012169837962151472,0.014431745869365348,0.015455040773299334,0.014903798619420454,0.012889153265746661,0.009941807139227776,0.006790644548265799,0.004069862584720598
bravo_without_replacement | p=0.7 | min_stop=50 | alpha=1,66,0.002197084607705929,0.0003870410000907189,0.001190043741961381,0.002197084607705929,0.0028690070801727515,0.0036494919708116983,0.004522781277606564,0.005461104814433771,0.006424797342709112,0.007364057386961011,0.008941858398993129,0.009759695886917547,0.009547014613028114,0.008334709638736457,0.006457073948562244,0.004406384997338807,0.002623618705597008
bravo_without_replacement | p=0.7 | min_stop=50 | alpha=1,68,0.0028534861416519746,0.0004976467291587484,0.0015431085705276614,0.0028534861416519746,0.003724661875148063,0.004732231379116964,0.005852862085948377,0.00704727276118127,0.00826082865215208,0.009426421282686809,0.011316028944890824,0.012168484812958609,0.011685084327738916,0.00997612602699241,0.007527444986227267,0.004981157895105748,0.0028622594034656626
bravo_without_replacement | p=0.7 | min_stop=50 | alpha=1,71,0.0016086588061148418,0.0002499695054850412,0.0008337972564707634,0.0016086588061148418,0.0021409249622268835,0.0027700783670967706,0.003484945959073936,0.004263287220445196,0.005071537800458083,0.005866157724282669,0.007210700996626439,0.007902730221988896,0.007697983689214605,0.006634413493252287,0.00502796838608793,0.0033241167765616165,0.0018975991870473202
bravo_without_replacement | p=0.7 | min_stop=50 | alpha=1,74,0.001064520831395777,0.0001473855677840524,0.0005288426720857597,0.001064520831395777,0.0014445018049605576,0.0019033567257365157,0.0024357115514402755,0.0030274024246163705,0.003654750804233076,0.0042851169277705395,0.005393404280429591,0.006024484056652053,0.0059528394948990685,0.00517899146310517,0.003942208020838622,0.002603899910494214,0.0014767331738276938
bravo_without_replacement | p=0.7 | min_stop=50 | alpha=1,76,0.0014869336924597987,0.00020381098655509263,0.000737510998000827,0.0014869336924597987,0.00201688796304594,0.002654374528464461,0.003389979035509336,0.0042016432513311275,0.005053943735625108,0.005899304448179624,0.007340703598177597,0.008078459093474183,0.007836044400796766,0.006666917776733517,0.004942649552902653,0.003165779094017131,0.00173268156600473
bravo_without_replacement | p=0.7 | min_stop=50 | alpha=1,79,0.0008843668635336476,0.0001080055703277598,0.0004204217404220013,0.0008843668635336476,0.0012230636321818242,0.0016392340708794512,0.002129499075523559,0.0026816084944653604,0.0032734004801679983,0.0038731149483163334,0.004934848363923718,0.005535054081482931,0.005446214098284772,0.004677549520844795,0.0034830319104327146,0.0022288418660391315,0.001211900420096374
bravo_without_replacement | p=0.7 | min_stop=50 | alpha=1,81,0.0012115136864504054,0.0001464796225863844,0.0005750235098841896,0.0012115136864504054,0.0016748316649244912,0.00224202993882455,0.0029067456946745536,0.003650083660229833,0.004439460533878216,0.005229461191170208,0.006587292540606349,0.007279289047804116,0.00703114170335091,0.005905500671997695,0.0042828825061622805,0.0026576268471729014,0.001394575673430293
