,,0.5,0.52,0.55,0.57,0.59,0.62,0.7
max_sprt | multiprocessing=True | alpha=0.01586279296875,6,0.015625,0.019770609664000006,0.027680640625000016,0.03429644724899998,0.04218053364099999,0.056800235584000006,0.11764899999999995
max_sprt | multiprocessing=True | alpha=0.01586279296875,11,0.0029296875,0.004163187051332844,0.006838969377216801,0.009340459951587787,0.012573472131195773,0.01913602554179816,0.05084554481999997
max_sprt | multiprocessing=True | alpha=0.01586279296875,15,0.001373291015625,0.0021073586576897106,0.0038401881642037535,0.005578565654401429,0.007940655933461034,0.012997854481678166,0.039240049214834975
max_sprt | multiprocessing=True | alpha=0.01586279296875,18,0.001277923583984375,0.002036191750913757,0.0038915506808999785,0.0058019370017693165,0.00843677664634733,0.014134190465532827,0.04294169385743442
max_sprt | multiprocessing=True | alpha=0.01586279296875,21,0.0010585784912109375,0.001751357335554652,0.0035104981698246903,0.00537154654390368,0.007979443413224504,0.013681889619977641,0.041831619025179546
max_sprt | multiprocessing=True | alpha=0.01586279296875,24,0.0008452534675598145,0.001452033288807641,0.003052534114915722,0.0047937059740192686,0.007274687832096833,0.012766355696150583,0.039280399027577684
max_sprt | multiprocessing=True | alpha=0.01586279296875,27,0.0006651878356933594,0.0011865111456565729,0.0026160482128734473,0.004216352229330726,0.00653656473222772,0.011740355314411614,0.03635302458936421
max_sprt | multiprocessing=True | alpha=0.01586279296875,30,0.0005205245688557625,0.0009640657813884993,0.002229310480893084,0.0036875844296374886,0.005840154922355127,0.010735817934224557,0.033453749945921735
max_sprt | multiprocessing=True | alpha=0.01586279296875,32,0.0008133708033710718,0.0015040372293990325,0.003448681587087413,0.0056492737618521385,0.008830139677131173,0.01580948639307163,0.04391080898342113
max_sprt | multiprocessing=True | alpha=0.01586279296875,35,0.0005341171636246145,0.0010255207524548105,0.0024662036326812253,0.004146185514391855,0.0066205397201608744,0.012131728396032663,0.033909916092133265
max_sprt | multiprocessing=True | alpha=0.01586279296875,38,0.0003928415280824993,0.0007831829467804904,0.001975320953155597,0.0034082994270845804,0.005559709758925447,0.010427027022476878,0.02933019122867
max_sprt | multiprocessing=True | alpha=0.01586279296875,40,0.0005944922186245094,0.001183304667460209,0.0029593862243948786,0.005056730715494402,0.00814098140123506,0.014870465346413148,0.03728403983843365
max_sprt | multiprocessing=True | alpha=0.01586279296875,43,0.00038165476155427314,0.0007887856476146334,0.0020689692604625104,0.003628294173605163,0.005967317422984613,0.01115593647073605,0.028148470114335956
max_sprt | multiprocessing=True | alpha=0.01586279296875,46,0.0002771445134754913,0.0005947473447767039,0.001636128909232911,0.0029447351863693553,0.004947577519598051,0.009466699584191577,0.024037966069703622
max_sprt | multiprocessing=True | alpha=0.01586279296875,48,0.0004161770711164081,0.0008916798408584683,0.002432341653044903,0.004335322526193107,0.0071888650532355314,0.013396943843831338,0.030321373347015262
max_sprt | multiprocessing=True | alpha=0.01586279296875,51,0.000265665142580751,0.000591021507814264,0.0016908647972052667,0.0030930432441447944,0.005239557659392636,0.009993534710677416,0.02276211511460611
max_sprt | multiprocessing=True | alpha=0.01586279296875,53,0.0003846577386763528,0.0008543734752149641,0.0024237285356760903,0.004390653788446887,0.0073405801099538795,0.013636229492966957,0.027684188673128836
max_sprt | multiprocessing=True | alpha=0.01586279296875,56,0.00024028261416861318,0.0005541579174807897,0.0016487686833338519,0.003065386366345239,0.005235475404682092,0.009954034424092135,0.020337005037585967
max_sprt | multiprocessing=True | alpha=0.01586279296875,58,0.0003438447651331923,0.0007917319726304128,0.0023357964445952215,0.004300595465354116,0.007249232886190328,0.013423769440947976,0.024445918010670493
max_sprt | multiprocessing=True | alpha=0.01586279296875,61,0.0002128573753612563,0.0005089116362042936,0.0015746685685795068,0.0029755210880733603,0.005123847611807402,0.009710860892559701,0.017796719627771
max_sprt | multiprocessing=True | alpha=0.01586279296875,63,0.00030286554554615364,0.0007229497647995276,0.0022181224668636934,0.004150758849198982,0.007054288741765457,0.01302129499043046,0.021270632880223985
max_sprt | multiprocessing=True | alpha=0.01586279296875,65,0.0003731965662974263,0.0008894068341489189,0.002705879699522354,0.005014395374323984,0.008410791376795,0.015120885481891798,0.022016458812535847
max_sprt | multiprocessing=True | alpha=0.01586279296875,68,0.00021801072177851416,0.0005394840229209146,0.0017213793060755495,0.0032739115463994634,0.005609897694600439,0.01032225064475805,0.015124986733488338
max_sprt | multiprocessing=True | alpha=0.01586279296875,70,0.00030190522986953583,0.0007458919898415077,0.0023599595320140465,0.004444910571967981,0.007516983284976064,0.013471081431162463,0.017594100647016456
max_sprt | multiprocessing=True | alpha=0.01586279296875,73,0.00018227435750343138,0.0004675938544849435,0.001551627168551651,0.002999342914305621,0.005181749226900398,0.009504173673853268,0.012491924004700582
max_sprt | multiprocessing=True | alpha=0.01586279296875,75,0.00025520148603142836,0.0006536285142963142,0.002150701771541989,0.004117058583871672,0.007019883000205389,0.01254028088130377,0.014691503483907473
max_sprt | multiprocessing=True | alpha=0.01586279296875,78,0.00015505695670719674,0.00041236040587141695,0.001423036794531364,0.0027957816988796783,0.0048698523924681015,0.008903736186655515,0.010497396976753892
max_sprt | multiprocessing=True | alpha=0.01586279296875,80,0.000217792131754245,0.0005782723947829595,0.0019788016054942685,0.003849971283944848,0.006618545935505646,0.011785784367502399,0.012385451331888644
max_sprt | multiprocessing=True | alpha=0.01586279296875,82,0.0002652820186718273,0.0007032385356045433,0.0023861793143125213,0.004597549572379738,0.007800529344298886,0.013528803730397844,0.012672338087777053
