,,0.5,0.52,0.55,0.57,0.59,0.62,0.7
clip     | n_total=100000 | multiprocessing=True | alpha=0.10625781249999999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clip     | n_total=100000 | multiprocessing=True | alpha=0.10625781249999999,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clip     | n_total=100000 | multiprocessing=True | alpha=0.10625781249999999,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clip     | n_total=100000 | multiprocessing=True | alpha=0.10625781249999999,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clip     | n_total=100000 | multiprocessing=True | alpha=0.10625781249999999,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clip     | n_total=100000 | multiprocessing=True | alpha=0.10625781249999999,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clip     | n_total=100000 | multiprocessing=True | alpha=0.10625781249999999,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clip     | n_total=100000 | multiprocessing=True | alpha=0.10625781249999999,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clip     | n_total=100000 | multiprocessing=True | alpha=0.10625781249999999,8,0.00390625,0.005345972853145602,0.008373393789062506,0.011142915711200092,0.014683043760432096,0.021834010558489603,0.05764800999999997
clip     | n_total=100000 | multiprocessing=True | alpha=0.10625781249999999,9,0.00390625,0.005345972853145602,0.008373393789062506,0.011142915711200092,0.014683043760432096,0.021834010558489603,0.05764800999999997
clip     | n_total=100000 | multiprocessing=True | alpha=0.10625781249999999,10,0.00390625,0.005345972853145602,0.008373393789062506,0.011142915711200092,0.014683043760432096,0.021834010558489603,0.05764800999999997
clip     | n_total=100000 | multiprocessing=True | alpha=0.10625781249999999,11,0.00390625,0.005345972853145602,0.008373393789062506,0.011142915711200092,0.014683043760432096,0.021834010558489603,0.05764800999999997
clip     | n_total=100000 | multiprocessing=True | alpha=0.10625781249999999,12,0.005859375,0.008232449208736375,0.013388637999021492,0.018241665274406807,0.024574175170306103,0.037653125006376076,0.10510385183199994
clip     | n_total=100000 | multiprocessing=True | alpha=0.10625781249999999,13,0.005859375,0.008232449208736375,0.013388637999021492,0.018241665274406807,0.024574175170306103,0.037653125006376076,0.10510385183199994
clip     | n_total=100000 | multiprocessing=True | alpha=0.10625781249999999,14,0.005859375,0.008232449208736375,0.013388637999021492,0.018241665274406807,0.024574175170306103,0.037653125006376076,0.10510385183199994
clip     | n_total=100000 | multiprocessing=True | alpha=0.10625781249999999,15,0.0076904296875,0.011042260752322655,0.018508888884626495,0.025679752813608715,0.035161716414920816,0.05498359764861363,0.15742391745177992
clip     | n_total=100000 | multiprocessing=True | alpha=0.10625781249999999,16,0.0076904296875,0.011042260752322655,0.018508888884626495,0.025679752813608715,0.035161716414920816,0.05498359764861363,0.15742391745177992
clip     | n_total=100000 | multiprocessing=True | alpha=0.10625781249999999,17,0.0076904296875,0.011042260752322655,0.018508888884626495,0.025679752813608715,0.035161716414920816,0.05498359764861363,0.15742391745177992
clip     | n_total=100000 | multiprocessing=True | alpha=0.10625781249999999,18,0.0092010498046875,0.01344922174743265,0.02310905028652617,0.03253816192614797,0.04513474194314034,0.07169147652727333,0.20818484511609045
clip     | n_total=100000 | multiprocessing=True | alpha=0.10625781249999999,19,0.0092010498046875,0.01344922174743265,0.02310905028652617,0.03253816192614797,0.04513474194314034,0.07169147652727333,0.20818484511609045
clip     | n_total=100000 | multiprocessing=True | alpha=0.10625781249999999,20,0.0092010498046875,0.01344922174743265,0.02310905028652617,0.03253816192614797,0.04513474194314034,0.07169147652727333,0.20818484511609045
clip     | n_total=100000 | multiprocessing=True | alpha=0.10625781249999999,21,0.010397911071777344,0.015429359996190387,0.027078127046102733,0.03861139698254357,0.054156545081515794,0.08716064001652732,0.2554809549148295
clip     | n_total=100000 | multiprocessing=True | alpha=0.10625781249999999,22,0.010397911071777344,0.015429359996190387,0.027078127046102733,0.03861139698254357,0.054156545081515794,0.08716064001652732,0.2554809549148295
clip     | n_total=100000 | multiprocessing=True | alpha=0.10625781249999999,23,0.010397911071777344,0.015429359996190387,0.027078127046102733,0.03861139698254357,0.054156545081515794,0.08716064001652732,0.2554809549148295
clip     | n_total=100000 | multiprocessing=True | alpha=0.10625781249999999,24,0.011331677436828613,0.017033446696878667,0.030450315145973666,0.04390708824472436,0.06219302061762953,0.10126385758481551,0.298874702264525
clip     | n_total=100000 | multiprocessing=True | alpha=0.10625781249999999,25,0.011331677436828613,0.017033446696878667,0.030450315145973666,0.04390708824472436,0.06219302061762953,0.10126385758481551,0.298874702264525
clip     | n_total=100000 | multiprocessing=True | alpha=0.10625781249999999,26,0.012780696153640747,0.019518685806894184,0.035630947280142766,0.05196387241053778,0.07425996346153496,0.12188863413925848,0.3554389754519123
clip     | n_total=100000 | multiprocessing=True | alpha=0.10625781249999999,27,0.012780696153640747,0.019518685806894184,0.035630947280142766,0.05196387241053778,0.07425996346153496,0.12188863413925848,0.3554389754519123
clip     | n_total=100000 | multiprocessing=True | alpha=0.10625781249999999,28,0.012780696153640747,0.019518685806894184,0.035630947280142766,0.05196387241053778,0.07425996346153496,0.12188863413925848,0.3554389754519123
clip     | n_total=100000 | multiprocessing=True | alpha=0.10625781249999999,29,0.013722721487283707,0.021196309991050308,0.039298693024635414,0.05781794994860181,0.08321698688092431,0.13755740039453707,0.39868419635843383
clip     | n_total=100000 | multiprocessing=True | alpha=0.10625781249999999,30,0.013722721487283707,0.021196309991050308,0.039298693024635414,0.05781794994860181,0.08321698688092431,0.13755740039453707,0.39868419635843383
