legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo    | p=0.7 | alpha=0.09465625,60.0,70.0,90.0,110.0,120.0,140.0,160.0,190.0,230.0,330.0,440.0,460.0,320.0,230.0,170.0,130.0
bravo    | p=0.55 | alpha=0.20123901367187497,180.0,240.0,310.0,350.0,410.0,460.0,490.0,490.0,440.0,340.0,260.0,200.0,170.0,140.0,120.0,100.0
bravo    | p=0.52 | alpha=0.43153826904296877,220.0,300.0,370.0,420.0,460.0,490.0,490.0,440.0,400.0,310.0,250.0,210.0,170.0,140.0,130.0,110.0
