legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo    | p=0.7 | alpha=0.09465625,40.0,50.0,50.0,60.0,60.0,70.0,70.0,90.0,110.0,190.0,310.0,320.0,190.0,130.0,90.0,70.0
bravo    | p=0.55 | alpha=0.20123901367187497,120.0,170.0,230.0,260.0,310.0,380.0,460.0,430.0,350.0,240.0,190.0,150.0,120.0,100.0,80.0,70.0
bravo    | p=0.52 | alpha=0.43153826904296877,150.0,220.0,290.0,340.0,410.0,470.0,440.0,380.0,320.0,240.0,190.0,150.0,130.0,110.0,100.0,90.0
