legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo_without_replacement | p=0.7 | alpha=0.05,14.0,17.0,19.0,19.0,19.0,22.0,22.0,24.0,27.0,32.0,37.0,35.0,27.0,24.0,19.0,19.0
bravo_without_replacement | p=0.55 | alpha=0.05,135.0,189.0,242.0,265.0,275.0,275.0,265.0,242.0,214.0,166.0,135.0,112.0,97.0,84.0,76.0,70.0
bravo_without_replacement | p=0.51 | alpha=0.05,665.0,683.0,687.0,687.0,687.0,685.0,681.0,677.0,669.0,645.0,603.0,542.0,474.0,418.0,374.0,341.0
