legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo    | p=0.7 | alpha=0.05832865464687347,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,170.0,64.0,44.0,34.0,27.0,22.0,19.0,16.0
bravo    | p=0.55 | alpha=0.05953515625,1000.0,1000.0,1000.0,1000.0,904.0,479.0,333.0,257.0,213.0,156.0,127.0,106.0,91.0,81.0,72.0,64.0
bravo    | p=0.52 | alpha=0.15904492187499997,1000.0,1000.0,1000.0,1000.0,847.0,586.0,449.0,368.0,311.0,239.0,194.0,166.0,143.0,127.0,115.0,102.0
