,,0.5,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
kaplan_markov | alpha=0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kaplan_markov | alpha=0.05,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kaplan_markov | alpha=0.05,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kaplan_markov | alpha=0.05,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kaplan_markov | alpha=0.05,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kaplan_markov | alpha=0.05,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kaplan_markov | alpha=0.05,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kaplan_markov | alpha=0.05,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kaplan_markov | alpha=0.05,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kaplan_markov | alpha=0.05,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kaplan_markov | alpha=0.05,10,0.030625637593093627,0.04950466667420663,0.03731882391584792,0.030625637593093627,0.027660284001930373,0.02492920854819781,0.022418246882251674,0.02011381742857476,0.018002909142623032,0.016073069267671596,0.012709501704042532,0.00993419320042295,0.0076663712628039045,0.005833020659506188,0.004368491640254608,0.003214108155252358,0.002317776074255109
kaplan_markov | alpha=0.05,11,0.030625637593093627,0.04950466667420663,0.03731882391584792,0.030625637593093627,0.027660284001930373,0.02492920854819781,0.022418246882251674,0.02011381742857476,0.018002909142623032,0.016073069267671596,0.012709501704042532,0.00993419320042295,0.0076663712628039045,0.005833020659506188,0.004368491640254608,0.003214108155252358,0.002317776074255109
kaplan_markov | alpha=0.05,12,0.030625637593093627,0.04950466667420663,0.03731882391584792,0.030625637593093627,0.027660284001930373,0.02492920854819781,0.022418246882251674,0.02011381742857476,0.018002909142623032,0.016073069267671596,0.012709501704042532,0.00993419320042295,0.0076663712628039045,0.005833020659506188,0.004368491640254608,0.003214108155252358,0.002317776074255109
kaplan_markov | alpha=0.05,13,0.030625637593093627,0.04950466667420663,0.03731882391584792,0.030625637593093627,0.027660284001930373,0.02492920854819781,0.022418246882251674,0.02011381742857476,0.018002909142623032,0.016073069267671596,0.012709501704042532,0.00993419320042295,0.0076663712628039045,0.005833020659506188,0.004368491640254608,0.003214108155252358,0.002317776074255109
kaplan_markov | alpha=0.05,14,0.030625637593093627,0.04950466667420663,0.03731882391584792,0.030625637593093627,0.027660284001930373,0.02492920854819781,0.022418246882251674,0.02011381742857476,0.018002909142623032,0.016073069267671596,0.012709501704042532,0.00993419320042295,0.0076663712628039045,0.005833020659506188,0.004368491640254608,0.003214108155252358,0.002317776074255109
kaplan_markov | alpha=0.05,15,0.06853026093359446,0.11781083245858126,0.0858263007354153,0.06853026093359446,0.06097240672981489,0.05408730270808286,0.04783430121362356,0.042173035289805025,0.03706369904886633,0.03246729563310594,0.024662612514342583,0.01847065799625186,0.013626825686851963,0.009893116786426338,0.007059543773998198,0.004944278956072404,0.003392782205756474
kaplan_markov | alpha=0.05,16,0.06853026093359446,0.11781083245858126,0.0858263007354153,0.06853026093359446,0.06097240672981489,0.05408730270808286,0.04783430121362356,0.042173035289805025,0.03706369904886633,0.03246729563310594,0.024662612514342583,0.01847065799625186,0.013626825686851963,0.009893116786426338,0.007059543773998198,0.004944278956072404,0.003392782205756474
kaplan_markov | alpha=0.05,17,0.06853026093359446,0.11781083245858126,0.0858263007354153,0.06853026093359446,0.06097240672981489,0.05408730270808286,0.04783430121362356,0.042173035289805025,0.03706369904886633,0.03246729563310594,0.024662612514342583,0.01847065799625186,0.013626825686851963,0.009893116786426338,0.007059543773998198,0.004944278956072404,0.003392782205756474
kaplan_markov | alpha=0.05,18,0.06853026093359446,0.11781083245858126,0.0858263007354153,0.06853026093359446,0.06097240672981489,0.05408730270808286,0.04783430121362356,0.042173035289805025,0.03706369904886633,0.03246729563310594,0.024662612514342583,0.01847065799625186,0.013626825686851963,0.009893116786426338,0.007059543773998198,0.004944278956072404,0.003392782205756474
kaplan_markov | alpha=0.05,19,0.06853026093359446,0.11781083245858126,0.0858263007354153,0.06853026093359446,0.06097240672981489,0.05408730270808286,0.04783430121362356,0.042173035289805025,0.03706369904886633,0.03246729563310594,0.024662612514342583,0.01847065799625186,0.013626825686851963,0.009893116786426338,0.007059543773998198,0.004944278956072404,0.003392782205756474
