legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bayesian | a=1 | b=1 | critical_value=0.0036621093759926756,496.6505257230114,491.2255018645501,481.00913382652567,470.94153685346026,455.1372762981147,431.585421035611,399.10076148183333,358.3384192125522,312.1934008397198,221.2041730367309,152.64106704743114,109.02618026129808,81.62576269222184,63.523344397605456,50.938684835759496,41.824198271998746
max_sprt | alpha=0.0195361328125,493.88175878625145,488.290050974459,479.45578783628935,471.1737548217942,458.20351583981005,438.5004214266351,410.37944587721785,373.5465508360237,329.87124608243107,237.94292155497692,164.12000369700948,115.92369497061449,85.65998922684747,65.81016131074796,52.11132274242004,42.25946741140596
bravo    | p=0.7 | alpha=0.058559570312499996,494.50179882177673,486.9463109048072,476.9444194517732,469.4388407738092,459.57805544778313,446.6869496480755,429.96179173570584,408.52148347020716,381.5538822269075,309.9965481986485,223.00735500997115,143.65291575895614,90.44295142375155,61.36898510944057,45.705457792792174,36.342514706731954
bravo    | p=0.55 | alpha=0.08490039062499999,499.8419752580268,497.57373642715163,488.18565841338585,476.5639689264915,457.2350601894794,428.5719783450646,390.861617388063,346.84737785420293,301.01546984877916,220.589027497751,165.81252708521558,131.33788673293606,108.59973478005712,92.56508707513169,80.65522003544038,71.46157942683523
bravo    | p=0.52 | alpha=0.24879882812499998,499.9630801066882,498.76999497294196,491.8754856119346,482.2566790196197,465.38680243437057,439.5852818349115,405.1188131017212,364.66129460307195,322.44995808465706,247.75753265243287,195.0399327265516,159.8557812444314,135.34167625034374,117.33853004066772,103.57004976859123,92.70854757747398
clip     | alpha=0.054657226562499994,496.41797480982353,490.87311368211675,480.7391266902198,470.8843900368322,455.47918959458036,432.5135683775484,400.70498432551767,360.51838518309853,314.6521483369922,223.14465028128296,153.5020054172279,109.17503830264587,81.45073918664727,63.21251266051999,50.577074286310214,41.45279552017856
bravo_without_replacement | p=0.7 | alpha=0.058559570312499996,494.49794028266336,486.922641286249,476.87778748347534,469.33227997316186,459.4128427559292,446.43871370836473,429.6009928804836,408.0162301156813,380.876778387754,308.97337717028745,221.8719464582267,142.78370364026694,89.96836889853451,61.154743130266745,45.61249832377621,36.30282650264334
bravo_without_replacement | p=0.55 | alpha=0.0780712890625,499.86375107693766,497.7484154572258,488.67350299249136,477.2844187911682,458.220773367417,429.8383005541755,392.41507066305496,348.6913368323945,303.14217405477405,223.14753807161426,168.49156715592738,133.89921609473558,110.9597024858444,94.71975065260357,82.62385177950209,73.26661144226628
bravo_without_replacement | p=0.52 | alpha=0.2361162109375,499.96790010982534,498.84272571843763,492.14527384829535,482.70819241532615,466.08766015775285,440.6098647065659,406.54196774217985,366.53926649605125,324.79306801257695,250.82704395103858,198.38774636842118,163.16358944674081,138.48040268892672,120.27520485434836,106.3156148446878,95.29977149597505
truncated_bayesian | a=1 | b=1 | critical_value=0.06446248046875,492.45420295673483,486.0984157714422,477.5315160229142,470.3018254504202,459.529887164917,443.449396821928,420.16791827448634,388.46018340912406,348.7504165407164,257.1700712148804,176.02035046076858,120.84542777045078,86.6684138733691,64.95027763477697,50.407689605921156,40.22146841989861
bayesian_with_replacement | a=1 | b=1 | critical_value=0.003723144541175538,496.42918100310106,490.9222589011837,480.8720926544114,471.09858323704094,455.8096347973794,432.99043382344877,401.3366814381178,361.277505601467,315.4763909335158,223.87822099635457,154.00227404333128,109.48762010961192,81.65625313239576,63.36018502056582,50.68835233119693,41.53579081227654
