legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bayesian | a=1 | b=1 | critical_value=0.05,442.6879465281698,398.8263069819379,331.2084562357938,266.41433182471945,208.78171902176172,164.4064862796827,131.15830618848113,106.26423000746479,87.43896279695214,61.759758537910855,45.77677216601945,35.297641616469285,28.10636327022664,22.972966331425233,19.183953777254892,16.306978309135342
max_sprt | alpha=0.05,485.8772972085736,476.0493716996696,463.65934846803714,453.64502357450823,438.81222139229834,415.61075720091117,377.71812897292193,317.12983237003345,246.37293844841327,157.12010213539028,108.11664971650116,78.64000336417476,59.64231421641148,46.726997385399116,37.56464945146377,30.835440004113522
bravo    | p=0.7 | alpha=0.05,496.479869210048,491.25449846293617,484.05448431226836,478.50495550319914,471.0591248960322,461.08851499079066,447.7728802186026,430.05906479532166,406.63318815269815,336.37840981978405,228.3977259697552,126.85434112995787,81.40615096023127,58.620436198643596,45.36451657846722,36.82052062146976
bravo    | p=0.55 | alpha=0.05,499.9990459980872,499.9632345800531,499.60641227923,498.74320971579436,496.07795939371874,488.1709602786635,466.32676498014064,414.79749442871287,341.05414896259174,244.08817196110215,188.14110441407962,152.3392487576156,127.67786844352034,109.74377254031329,96.15360126409132,85.51934635969003
clip     | alpha=0.05,493.9036211901528,487.02392599697976,477.0613912299388,468.4238050785852,455.08806759230737,433.49582771919927,397.20093994209265,337.3799873452851,263.66322827888007,168.86488338923198,116.7973042357418,85.46349199509254,65.24289165242682,51.46641076498028,41.669304320578725,34.45660126676745
bravo_without_replacement | p=0.7 | alpha=0.05,495.81684559366533,489.3748451947817,480.4507177581653,465.3079711809471,447.62624569285714,427.7799805269563,405.06132185795616,378.64908697332396,347.6793599701472,269.9277465607957,179.1397311706041,108.40355539673469,72.10886115113664,53.360702357999706,42.113960835553435,34.68760128782826
bravo_without_replacement | p=0.55 | alpha=0.05,499.9653726394789,498.7804082813305,488.3705682126164,459.4877925501857,407.581493964255,341.4610612042848,286.08228850017184,244.870152479932,213.42899222919084,169.0251505609878,139.432140573509,118.48881311862854,103.02543734332731,91.17616151177047,81.75596741842199,74.03060057759551
truncated_bayesian | a=1 | b=1 | critical_value=0.05,496.2857184080237,492.64161470273734,487.9772864453978,484.31219356829774,479.081214493354,471.23360300320985,458.70001681970047,437.22281013760266,398.3454359044217,261.4371336888806,172.10832895982918,120.64502508704844,88.72035715058941,67.72935717421616,53.2677127452336,42.922678357790296
bayesian_with_replacement | a=1 | b=1 | critical_value=0.05,444.7197126230152,408.19437181071515,365.3299993049473,333.48531661406065,290.94845045262906,235.561287776695,176.3009044421015,134.08904734470283,105.19504345031996,69.64187767786191,49.6062163294029,37.27234170261913,29.15824600876317,23.539616383870648,19.487323922044467,16.465907918330938
