legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo_without_replacement | p=0.7 | alpha=0.0582103237658739,32.0,39.0,47.0,52.0,57.0,64.0,72.0,84.0,100.0,160.0,263.0,190.0,110.0,74.0,57.0,47.0
bravo_without_replacement | p=0.55 | alpha=0.0527060546875,242.0,408.0,708.0,954.0,1135.0,1135.0,956.0,708.0,523.0,332.0,239.0,187.0,153.0,130.0,111.0,99.0
bravo_without_replacement | p=0.51 | alpha=0.22733593749999997,771.0,1462.0,1707.0,1707.0,1639.0,1462.0,1192.0,945.0,771.0,564.0,441.0,363.0,304.0,264.0,234.0,210.0
