legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo_without_replacement | p=0.7 | alpha=0.0582103237658739,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,684.0,195.0,110.0,74.0,57.0,47.0
bravo_without_replacement | p=0.55 | alpha=0.0527060546875,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,1158.0,727.0,523.0,332.0,239.0,187.0,153.0,130.0,111.0,99.0
bravo_without_replacement | p=0.51 | alpha=0.22733593749999997,2000.0,2000.0,2000.0,2000.0,2000.0,1691.0,1218.0,947.0,771.0,564.0,441.0,363.0,304.0,264.0,234.0,210.0
