legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo    | p=0.7 | alpha=0.058559570312499996,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,173.0,64.0,44.0,34.0,27.0,22.0,19.0,16.0
bravo    | p=0.55 | alpha=0.08490039062499999,500.0,500.0,500.0,500.0,500.0,382.0,275.0,216.0,178.0,134.0,106.0,90.0,77.0,68.0,62.0,56.0
bravo    | p=0.52 | alpha=0.24879882812499998,500.0,500.0,500.0,500.0,500.0,399.0,311.0,258.0,222.0,173.0,142.0,120.0,103.0,93.0,83.0,77.0
