legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo    | p=0.7 | alpha=0.058559570312499996,19.0,24.0,27.0,29.0,32.0,34.0,39.0,44.0,49.0,59.0,67.0,62.0,52.0,39.0,34.0,29.0
bravo    | p=0.55 | alpha=0.08490039062499999,144.0,205.0,252.0,266.0,277.0,277.0,271.0,256.0,235.0,186.0,146.0,119.0,100.0,85.0,77.0,68.0
bravo    | p=0.52 | alpha=0.24879882812499998,244.0,316.0,342.0,346.0,344.0,336.0,324.0,301.0,279.0,226.0,183.0,150.0,130.0,111.0,99.0,89.0
