legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo    | p=0.7 | alpha=0.058559570312499996,44.0,59.0,69.0,79.0,90.0,105.0,122.0,147.0,180.0,253.0,293.0,271.0,200.0,132.0,95.0,69.0
bravo    | p=0.55 | alpha=0.08490039062499999,264.0,386.0,433.0,443.0,447.0,447.0,445.0,437.0,420.0,357.0,273.0,207.0,165.0,138.0,117.0,100.0
bravo    | p=0.52 | alpha=0.24879882812499998,397.0,456.0,469.0,471.0,469.0,467.0,458.0,450.0,434.0,373.0,293.0,234.0,191.0,163.0,140.0,124.0
