legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo_without_replacement | p=0.7 | alpha=0.058249764911830426,79.0,112.0,145.0,168.0,198.0,238.0,293.0,379.0,515.0,1250.0,2532.0,1731.0,618.0,324.0,205.0,145.0
bravo_without_replacement | p=0.55 | alpha=0.051730468749999994,501.0,1007.0,2162.0,2766.0,2900.0,2903.0,2768.0,2162.0,1422.0,759.0,494.0,360.0,278.0,223.0,185.0,158.0
bravo_without_replacement | p=0.51 | alpha=0.17660546875,1484.0,2902.0,2980.0,2980.0,2968.0,2902.0,2513.0,1901.0,1482.0,1008.0,755.0,597.0,493.0,416.0,360.0,315.0
