legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo_without_replacement | p=0.7 | alpha=0.058249764911830426,32.0,39.0,47.0,49.0,57.0,64.0,72.0,82.0,100.0,160.0,288.0,195.0,112.0,74.0,57.0,47.0
bravo_without_replacement | p=0.55 | alpha=0.051730468749999994,246.0,412.0,736.0,1089.0,1455.0,1458.0,1094.0,736.0,532.0,334.0,244.0,189.0,156.0,130.0,111.0,99.0
bravo_without_replacement | p=0.51 | alpha=0.17660546875,906.0,1905.0,2527.0,2527.0,2342.0,1905.0,1427.0,1111.0,906.0,658.0,515.0,422.0,358.0,309.0,273.0,243.0
