legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo_without_replacement | p=0.7 | alpha=0.058559570312499996,29.0,39.0,47.0,49.0,57.0,62.0,69.0,77.0,84.0,102.0,110.0,105.0,89.0,72.0,57.0,47.0
bravo_without_replacement | p=0.55 | alpha=0.12002148437499999,161.0,189.0,199.0,201.0,203.0,203.0,201.0,199.0,195.0,180.0,159.0,134.0,113.0,94.0,82.0,73.0
bravo_without_replacement | p=0.52 | alpha=0.342455078125,199.0,215.0,217.0,217.0,217.0,215.0,213.0,211.0,205.0,191.0,168.0,146.0,121.0,105.0,93.0,83.0
