legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo_without_replacement | p=0.7 | alpha=0.058559570312499996,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,167.0,64.0,44.0,34.0,27.0,22.0,19.0,16.0
bravo_without_replacement | p=0.55 | alpha=0.12002148437499999,250.0,250.0,250.0,250.0,250.0,250.0,210.0,170.0,140.0,109.0,88.0,75.0,65.0,56.0,52.0,48.0
bravo_without_replacement | p=0.52 | alpha=0.342455078125,250.0,250.0,250.0,250.0,250.0,250.0,215.0,178.0,156.0,121.0,103.0,89.0,77.0,68.0,62.0,56.0
