legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo    | p=0.7 | alpha=0.05832865464687347,82.0,112.0,145.0,168.0,198.0,241.0,296.0,384.0,525.0,1200.0,1744.0,1454.0,628.0,326.0,205.0,145.0
bravo    | p=0.55 | alpha=0.0527060546875,507.0,1040.0,1794.0,1922.0,1949.0,1949.0,1922.0,1794.0,1429.0,777.0,503.0,362.0,278.0,223.0,185.0,158.0
bravo    | p=0.51 | alpha=0.24099414062499996,1359.0,1969.0,1985.0,1985.0,1981.0,1969.0,1915.0,1699.0,1357.0,907.0,668.0,525.0,430.0,361.0,311.0,270.0
