legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo    | p=0.7 | alpha=0.05832865464687347,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,170.0,64.0,44.0,34.0,27.0,22.0,19.0,16.0
bravo    | p=0.55 | alpha=0.0527060546875,2000.0,2000.0,2000.0,2000.0,1004.0,516.0,358.0,276.0,225.0,166.0,132.0,111.0,95.0,84.0,73.0,67.0
bravo    | p=0.51 | alpha=0.24099414062499996,2000.0,2000.0,2000.0,2000.0,1270.0,897.0,697.0,571.0,484.0,373.0,307.0,258.0,224.0,198.0,177.0,161.0
