legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo    | p=0.7 | alpha=0.05832865464687347,32.0,39.0,47.0,49.0,57.0,64.0,72.0,82.0,100.0,160.0,258.0,190.0,112.0,74.0,57.0,47.0
bravo    | p=0.55 | alpha=0.0527060546875,246.0,417.0,724.0,962.0,1126.0,1126.0,962.0,724.0,535.0,337.0,244.0,189.0,153.0,130.0,111.0,99.0
bravo    | p=0.51 | alpha=0.24099414062499996,773.0,1460.0,1687.0,1687.0,1622.0,1458.0,1204.0,955.0,773.0,557.0,436.0,355.0,301.0,258.0,228.0,204.0
