legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo    | p=0.7 | alpha=0.05832865464687347,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,631.0,326.0,205.0,145.0
bravo    | p=0.55 | alpha=0.0527060546875,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,1488.0,777.0,503.0,362.0,278.0,223.0,185.0,158.0
bravo    | p=0.51 | alpha=0.24099414062499996,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,1777.0,1359.0,907.0,668.0,525.0,430.0,361.0,311.0,270.0
