legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo    | p=0.7 | alpha=0.05,82.0,115.0,145.0,168.0,198.0,239.0,294.0,377.0,498.0,818.0,918.0,876.0,591.0,327.0,208.0,148.0
bravo    | p=0.55 | alpha=0.05,476.0,843.0,973.0,984.0,988.0,990.0,986.0,977.0,950.0,739.0,495.0,360.0,278.0,226.0,188.0,158.0
bravo    | p=0.51 | alpha=0.05,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,998.0,990.0,915.0,770.0,657.0,570.0,501.0
