legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo_without_replacement | p=0.7 | alpha=0.05,19.0,25.0,30.0,32.0,35.0,37.0,42.0,47.0,52.0,72.0,95.0,77.0,57.0,42.0,35.0,30.0
bravo_without_replacement | p=0.55 | alpha=0.05,183.0,284.0,444.0,574.0,684.0,686.0,576.0,444.0,347.0,238.0,181.0,145.0,122.0,105.0,93.0,82.0
bravo_without_replacement | p=0.51 | alpha=0.05,1233.0,1719.0,1799.0,1799.0,1777.0,1721.0,1610.0,1440.0,1237.0,937.0,748.0,624.0,536.0,467.0,415.0,375.0
