legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo_without_replacement | p=0.7 | alpha=0.05,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,762.0,208.0,118.0,80.0,60.0,47.0
bravo_without_replacement | p=0.55 | alpha=0.05,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,1178.0,738.0,532.0,337.0,244.0,192.0,156.0,131.0,114.0,99.0
bravo_without_replacement | p=0.51 | alpha=0.05,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,1763.0,1450.0,1067.0,840.0,696.0,592.0,514.0,453.0,405.0
