legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo    | p=0.7 | alpha=0.058559570312499996,19.0,24.0,27.0,29.0,32.0,34.0,39.0,44.0,49.0,62.0,74.0,67.0,52.0,39.0,34.0,29.0
bravo    | p=0.55 | alpha=0.0712421875,155.0,232.0,312.0,348.0,369.0,371.0,357.0,325.0,283.0,207.0,159.0,129.0,108.0,93.0,83.0,72.0
bravo    | p=0.52 | alpha=0.20001953125,288.0,427.0,491.0,503.0,497.0,478.0,446.0,401.0,352.0,268.0,213.0,176.0,150.0,129.0,115.0,105.0
