legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo    | p=0.7 | alpha=0.058559570312499996,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,173.0,64.0,44.0,34.0,27.0,22.0,19.0,16.0
bravo    | p=0.55 | alpha=0.0712421875,750.0,750.0,750.0,750.0,750.0,432.0,304.0,237.0,195.0,146.0,117.0,98.0,85.0,75.0,66.0,60.0
bravo    | p=0.52 | alpha=0.20001953125,750.0,750.0,750.0,750.0,705.0,491.0,380.0,313.0,266.0,205.0,168.0,142.0,123.0,109.0,99.0,88.0
