,,0.5,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
truncated_bayesian | a=1 | b=1 | critical_value=0.05,7,0.007796100314797184,0.003727109295552789,0.005857333889579098,0.007796100314797184,0.00895600685180214,0.010260794947512288,0.011725241863595947,0.01336530684242917,0.015198200641637565,0.01724245774393979,0.022046270804383167,0.02795441375398032,0.03517082298720958,0.043928515030386424,0.054492591855212935,0.06716344650306119,0.08228017548475562
truncated_bayesian | a=1 | b=1 | critical_value=0.05,11,0.00340601389732709,0.001305056515403143,0.002354122260502555,0.00340601389732709,0.004069592698480179,0.004841741083169221,0.005736598287711884,0.006769579318021981,0.007957406397364615,0.009318126482591206,0.012637039844110529,0.01689666766753927,0.022286108428404894,0.029009122475736154,0.03727719693728096,0.04729892328856237,0.05926468685881036
truncated_bayesian | a=1 | b=1 | critical_value=0.05,14,0.002977872130759462,0.0010161818380141825,0.001972384701089397,0.002977872130759462,0.003628031602784775,0.004396081984821061,0.005298483257408573,0.006353082321601088,0.007579063582245705,0.008996859202746153,0.012494986351313207,0.017029270543706693,0.022786472977052163,0.02994419400721512,0.03865109286326762,0.04900083954168996,0.06099961856409587
truncated_bayesian | a=1 | b=1 | critical_value=0.05,17,0.002337644916132955,0.0007103878338767807,0.0014837335015575753,0.002337644916132955,0.002904083609544956,0.003583873528798464,0.004394159013479206,0.005353507871638326,0.006481783152649834,0.007799946987910642,0.011093552891637767,0.015411337024801386,0.02092054154540344,0.02775530753239275,0.03598627047574375,0.04558396478670261,0.056378409612113975
truncated_bayesian | a=1 | b=1 | critical_value=0.05,20,0.0017846466490478439,0.00048293633282150495,0.0010854508606537513,0.0017846466490478439,0.002260754708860747,0.0028415190918374945,0.0035441769012852244,0.004387447344150379,0.005391340131759537,0.006576868170300601,0.009579400513367066,0.013565076420770374,0.018681427140889873,0.02502206849795587,0.03258793216805145,0.041244434297938795,0.05068056718692093
truncated_bayesian | a=1 | b=1 | critical_value=0.05,23,0.0013527465425533932,0.0003259445982372347,0.0007883947122310513,0.0013527465425533932,0.0017474040825185358,0.002236911466394092,0.002838309428523374,0.0035702136787740756,0.004452578321198053,0.005506335878361133,0.008213497489984956,0.011855807884378993,0.016564480610070754,0.022399248901946778,0.029302927038525915,0.037055495029398276,0.04523789514198828
truncated_bayesian | a=1 | b=1 | critical_value=0.05,26,0.0010255414220872166,0.00022000841750459312,0.0005727150377101801,0.0010255414220872166,0.0013508617792785927,0.0017612841403402508,0.0022734788437225417,0.002905811425810658,0.0036780795089193857,0.004611099031683209,0.007044045733192209,0.010364519293212571,0.014691236961086946,0.020056673798546372,0.02635612553427104,0.03330090437289481,0.04039035916753385
truncated_bayesian | a=1 | b=1 | critical_value=0.05,29,0.0007798380088859738,0.00014894235415043575,0.0004172887189589973,0.0007798380088859738,0.0010474854265325833,0.0013910229973706516,0.001826630782513852,0.0023723208351084657,0.00304766498437517,0.0038733455908457853,0.006059856097277381,0.009089042777518838,0.013070540458552054,0.018015297984762476,0.023779918979652735,0.03002046761951309,0.036175064759504334
truncated_bayesian | a=1 | b=1 | critical_value=0.05,32,0.0005954437566669011,0.00010123979214042194,0.0003052872041711101,0.0005954437566669011,0.0008155964248155758,0.001103149057897082,0.0014737032953763632,0.0019448358485559952,0.0025358330688019133,0.0032672235713360246,0.005235031832754872,0.008004033034631044,0.01167761470784477,0.016249943203376933,0.021546076103750235,0.02717738519009536,0.032536285512084866
truncated_bayesian | a=1 | b=1 | critical_value=0.05,35,0.00045666505340884514,6.911525102362133e-05,0.00022433135433134517,0.00045666505340884514,0.0006378644825925857,0.0008787485641592513,0.001194274907942768,0.0016015170181483936,0.0021194197175262363,0.002768329754915123,0.004542853929266441,0.007080385471391287,0.01048034836436128,0.014723995351754697,0.01961058700308904,0.024715092949438543,0.02939606792990889
truncated_bayesian | a=1 | b=1 | critical_value=0.05,37,0.0007047437188831726,0.00010555076809263509,0.0003455918616098362,0.0007047437188831726,0.0009840487887250741,0.0013541204862183855,0.0018367495875753895,0.0024562727923603173,0.003238954918863838,0.0042119994617559305,0.006833816262864498,0.010494069428582128,0.015248819129164213,0.020950443490409455,0.027176164829071297,0.033210417053115865,0.038117787377687874
truncated_bayesian | a=1 | b=1 | critical_value=0.05,40,0.0004572513568975779,6.095482654409747e-05,0.00021483072699707986,0.0004572513568975779,0.0006510933529903509,0.0009125727173141796,0.0012593012396384447,0.0017112591843307682,0.0022903214761997846,0.003019441656399508,0.005017401613113453,0.007854215388487115,0.011579006073308787,0.01606131202278133,0.020927758615527432,0.025552694447061725,0.029137318376708823
truncated_bayesian | a=1 | b=1 | critical_value=0.05,43,0.0003334582100923132,3.956273248833729e-05,0.000150099975153837,0.0003334582100923132,0.0004842143152733689,0.0006912738917391368,0.0009704792430447611,0.0013400964098760305,0.0018204252382706886,0.0024330628786312994,0.004140843994696787,0.006607862561991638,0.009883467838585595,0.0138412167900765,0.018116065363688698,0.022100670996729473,0.025036643836332303
truncated_bayesian | a=1 | b=1 | critical_value=0.05,45,0.0005023246024512139,5.897369370235506e-05,0.00022571244393691307,0.0005023246024512139,0.0007291866453321399,0.0010398206106770624,0.0014569667663096254,0.0020063211431572935,0.002715696374603407,0.003613638981861248,0.006080561338189998,0.009560163570851953,0.014037238761053106,0.019224079205253052,0.024504967760518973,0.02898650667507505,0.03168653582137549
