legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo    | p=0.7 | alpha=0.05,75.0,95.0,115.0,125.0,135.0,150.0,160.0,190.0,225.0,325.0,455.0,460.0,335.0,240.0,175.0,130.0
bravo    | p=0.55 | alpha=0.05,200.0,255.0,310.0,335.0,375.0,415.0,455.0,490.0,495.0,420.0,345.0,280.0,235.0,200.0,170.0,150.0
bravo    | p=0.51 | alpha=0.05,235.0,265.0,285.0,295.0,305.0,315.0,315.0,330.0,345.0,380.0,410.0,440.0,475.0,495.0,465.0,430.0
