legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bayesian | a=100 | b=100 | critical_value=0.010498046875979005,295.0,679.0,1385.0,1518.0,1508.0,1366.0,1105.0,824.0,625.0,404.0,293.0,228.0,185.0,153.0,132.0,115.0
bayesian | a=500 | b=500 | critical_value=0.03222656250093554,589.0,1249.0,1625.0,1648.0,1591.0,1428.0,1164.0,903.0,720.0,504.0,385.0,309.0,258.0,221.0,195.0,172.0
bayesian | a=1000 | b=1000 | critical_value=0.055664062500888664,737.0,1444.0,1691.0,1693.0,1624.0,1463.0,1206.0,953.0,771.0,550.0,427.0,345.0,293.0,252.0,222.0,197.0
