legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bayesian | a=100 | b=100 | critical_value=0.010498046875979005,215.0,427.0,899.0,1064.0,1066.0,934.0,731.0,555.0,432.0,295.0,221.0,177.0,147.0,124.0,109.0,96.0
bayesian | a=500 | b=500 | critical_value=0.03222656250093554,455.0,895.0,1264.0,1298.0,1227.0,1058.0,848.0,673.0,551.0,399.0,313.0,258.0,219.0,190.0,168.0,149.0
bayesian | a=1000 | b=1000 | critical_value=0.055664062500888664,579.0,1099.0,1378.0,1380.0,1293.0,1121.0,909.0,730.0,605.0,449.0,356.0,295.0,252.0,220.0,193.0,175.0
