legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo    | p=0.7 | alpha=0.058559570312499996,29.0,39.0,44.0,49.0,54.0,62.0,69.0,77.0,84.0,102.0,110.0,105.0,90.0,72.0,57.0,47.0
bravo    | p=0.55 | alpha=0.12489941406249999,157.0,184.0,197.0,199.0,201.0,201.0,201.0,197.0,195.0,180.0,159.0,134.0,111.0,94.0,81.0,71.0
bravo    | p=0.52 | alpha=0.350259765625,195.0,211.0,215.0,215.0,215.0,215.0,213.0,209.0,205.0,188.0,168.0,144.0,121.0,105.0,93.0,80.0
