legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo    | p=0.7 | alpha=0.058559570312499996,19.0,24.0,27.0,29.0,32.0,34.0,39.0,42.0,44.0,52.0,54.0,54.0,47.0,39.0,34.0,29.0
bravo    | p=0.55 | alpha=0.12489941406249999,115.0,140.0,153.0,155.0,157.0,157.0,155.0,153.0,147.0,134.0,117.0,98.0,83.0,73.0,64.0,58.0
bravo    | p=0.52 | alpha=0.350259765625,156.0,174.0,178.0,178.0,178.0,176.0,174.0,170.0,164.0,148.0,129.0,111.0,97.0,84.0,74.0,68.0
