legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo    | p=0.7 | alpha=1,100.0,200.0,200.0,200.0,300.0,300.0,300.0,400.0,600.0,1200.0,1800.0,1500.0,600.0,300.0,200.0,200.0
bravo    | p=0.55 | alpha=0.0996561279296875,500.0,1000.0,1800.0,2000.0,2000.0,2000.0,2000.0,1800.0,1400.0,800.0,500.0,400.0,300.0,300.0,200.0,200.0
bravo    | p=0.51 | alpha=0.28196875,1200.0,2000.0,2000.0,2000.0,2000.0,2000.0,1900.0,1700.0,1300.0,900.0,700.0,500.0,400.0,400.0,300.0,300.0
