legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo_without_replacement | p=0.7 | alpha=0.05807177734374999,44.0,59.0,72.0,79.0,89.0,102.0,122.0,147.0,177.0,253.0,296.0,270.0,195.0,132.0,92.0,69.0
bravo_without_replacement | p=0.55 | alpha=0.0761201171875,272.0,394.0,438.0,446.0,450.0,450.0,446.0,438.0,421.0,354.0,270.0,207.0,168.0,138.0,117.0,103.0
bravo_without_replacement | p=0.52 | alpha=0.22928710937499996,404.0,463.0,471.0,471.0,471.0,467.0,463.0,453.0,435.0,370.0,293.0,234.0,196.0,165.0,143.0,127.0
