legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo_without_replacement | p=0.7 | alpha=0.05807177734374999,29.0,39.0,47.0,49.0,57.0,64.0,72.0,82.0,94.0,132.0,157.0,142.0,104.0,74.0,57.0,47.0
bravo_without_replacement | p=0.55 | alpha=0.0761201171875,205.0,306.0,360.0,377.0,383.0,383.0,377.0,360.0,337.0,268.0,205.0,161.0,132.0,113.0,96.0,86.0
bravo_without_replacement | p=0.51 | alpha=0.4385502929687499,370.0,422.0,432.0,432.0,430.0,424.0,412.0,396.0,372.0,306.0,246.0,204.0,174.0,150.0,132.0,118.0
