legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo    | p=0.7 | alpha=0.05,14.0,14.0,17.0,17.0,19.0,19.0,19.0,22.0,25.0,30.0,37.0,37.0,30.0,25.0,22.0,19.0
bravo    | p=0.55 | alpha=0.05,89.0,108.0,129.0,141.0,158.0,179.0,211.0,257.0,259.0,181.0,141.0,116.0,99.0,87.0,78.0,70.0
bravo    | p=0.51 | alpha=0.05,206.0,216.0,235.0,247.0,255.0,265.0,275.0,285.0,293.0,313.0,352.0,388.0,435.0,469.0,410.0,368.0
