election,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7,legend
n=005000_m=01800_p=0.500_replacement=False_step=1,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1523.0,967.0,688.0,427.0,301.0,232.0,186.0,155.0,132.0,115.0,bravo_without_replacement | p=0.55 | alpha=0.051730468749999994
n=005000_m=01800_p=0.500_replacement=False_step=1,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1292.0,994.0,799.0,571.0,440.0,355.0,299.0,254.0,222.0,198.0,bravo_without_replacement | p=0.52 | alpha=0.0839248046875
n=005000_m=00600_p=0.500_replacement=False_step=1,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,395.0,280.0,215.0,173.0,141.0,120.0,106.0,bravo_without_replacement | p=0.55 | alpha=0.069291015625
n=005000_m=00600_p=0.500_replacement=False_step=1,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,588.0,409.0,312.0,249.0,209.0,177.0,154.0,136.0,bravo_without_replacement | p=0.52 | alpha=0.20197070312499998
n=005000_m=01400_p=0.500_replacement=False_step=1,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,958.0,684.0,422.0,299.0,230.0,184.0,152.0,131.0,115.0,bravo_without_replacement | p=0.55 | alpha=0.053681640625
n=005000_m=01400_p=0.500_replacement=False_step=1,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1222.0,935.0,749.0,534.0,409.0,330.0,275.0,237.0,207.0,183.0,bravo_without_replacement | p=0.52 | alpha=0.10441210937499999
n=005000_m=02200_p=0.500_replacement=False_step=1,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,1523.0,967.0,688.0,427.0,301.0,232.0,186.0,155.0,132.0,115.0,bravo_without_replacement | p=0.55 | alpha=0.051730468749999994
n=005000_m=02200_p=0.500_replacement=False_step=1,2200.0,2200.0,2200.0,2200.0,2200.0,1867.0,1348.0,1040.0,839.0,601.0,464.0,375.0,315.0,271.0,234.0,208.0,bravo_without_replacement | p=0.52 | alpha=0.0702666015625
n=005000_m=02400_p=0.500_replacement=False_step=1,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,1523.0,967.0,688.0,427.0,301.0,232.0,186.0,155.0,132.0,115.0,bravo_without_replacement | p=0.55 | alpha=0.051730468749999994
n=005000_m=02400_p=0.500_replacement=False_step=1,2400.0,2400.0,2400.0,2400.0,2400.0,1897.0,1365.0,1055.0,856.0,613.0,474.0,383.0,323.0,274.0,240.0,214.0,bravo_without_replacement | p=0.52 | alpha=0.065388671875
n=005000_m=01200_p=0.500_replacement=False_step=1,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,954.0,682.0,420.0,297.0,228.0,184.0,152.0,131.0,112.0,bravo_without_replacement | p=0.55 | alpha=0.054657226562499994
