election,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7,legend
n=005000_m=01800_p=0.500_replacement=False_step=1,1791.0803569535428,1775.2938295804227,1728.7869036513605,1642.09389695171,1436.8251590674286,1113.3588751386724,793.375007727418,564.1479742489315,416.0106265956077,250.79075982244038,166.96315575327958,119.03930916576442,89.1863779149807,69.36276189369835,55.53461030114279,45.503129127740095,bayesian | a=1 | b=1 | critical_value=0.0023803710947452395
n=005000_m=00600_p=0.500_replacement=False_step=1,596.1894140476081,589.8616223934356,577.0574908776114,563.4852075251667,541.0506928341744,506.4709406202292,458.48363726837647,399.7588303718693,336.7516018650288,225.6924163771553,152.8365014757858,109.28167985208424,82.07143543778115,64.00419809748641,51.4011379012477,42.25796678101024,bayesian | a=1 | b=1 | critical_value=0.003417968750993164
n=005000_m=01400_p=0.500_replacement=False_step=1,1392.8501844911027,1380.0786924629322,1345.425083421537,1290.8550368185602,1173.1617462048914,977.9915951460788,748.3482234496582,550.0833211833519,408.48246294330926,246.41499126417912,164.086387697627,117.03769851400331,87.74026152047104,68.28650666221277,54.711893487249135,44.860887151036046,bayesian | a=1 | b=1 | critical_value=0.002563476563494873
n=005000_m=02200_p=0.500_replacement=False_step=1,2189.297817030897,2170.6743824124082,2112.5727765250613,1984.7530842230035,1659.0253945620805,1194.7046442834126,815.022613068942,574.5049704138797,423.4283925297175,255.1895547535537,169.78200052135352,120.9305516661384,90.49294468222472,70.28683708905292,56.19960318236047,45.98718432203763,bayesian | a=1 | b=1 | critical_value=0.0021972656259956055
n=005000_m=02400_p=0.500_replacement=False_step=1,2389.110205616713,2369.785783138548,2306.1944485572017,2152.8376813518207,1751.6580146999154,1219.0313927885181,821.969813049534,579.0425482837768,426.89149486607454,257.42192087764494,171.3898425000584,122.1937266325892,91.54771626097559,71.2006066796023,57.010130422570846,46.71693901236401,bayesian | a=1 | b=1 | critical_value=0.002136230469745728
n=005000_m=01200_p=0.500_replacement=False_step=1,1193.7688758123575,1182.4953656007692,1153.2521330556806,1111.099917757587,1025.3204134549499,882.9116495057999,704.013386309003,533.4407031832968,400.98315574156237,242.63744787112503,161.67262200065383,115.41066660799964,86.59520047395162,67.4517432849061,54.08904962464796,44.39313570973083,bayesian | a=1 | b=1 | critical_value=0.0027465820322445066
n=005000_m=00800_p=0.500_replacement=False_step=1,795.6231450675368,787.6643758847348,769.563572150586,748.0224118675153,709.5186605694362,647.7193757343715,563.037972440454,466.0779631724028,372.65960161974124,234.31774520512343,156.56451952869205,111.8395106969491,83.99279816613695,65.51626653067869,52.639417705160206,43.30559342063775,bayesian | a=1 | b=1 | critical_value=0.0031433105478687134
n=005000_m=00400_p=0.500_replacement=False_step=1,397.05101011905884,392.6207432176866,384.9321291113403,377.8083096153552,367.060050704251,351.4667353560476,330.14291760568,303.05836936678764,271.38530462929594,203.75867975022686,146.14320838613884,105.9357215868058,79.65053940851337,62.07127862036358,49.78375565178527,40.85414433858486,bayesian | a=1 | b=1 | critical_value=0.0037536621103674925
n=005000_m=01600_p=0.500_replacement=False_step=1,1591.972526618601,1577.6191147738352,1536.7512255313113,1466.7071411295194,1308.369685160067,1051.4325438583496,773.6734804252957,556.8049805253208,411.30028109870585,248.00458891697042,165.18631665364038,117.85414617062011,88.3686848182266,68.7831945034637,55.113670253616746,45.19084553164729,bayesian | a=1 | b=1 | critical_value=0.002502441407244995
n=005000_m=02000_p=0.500_replacement=False_step=1,1990.1374518162495,1972.9233430509626,1920.9345581285274,1815.6498218924262,1555.6273803153103,1162.328639888596,807.7850792290327,570.9222507829592,420.8076689330592,253.6004407156469,168.7451253127339,120.22500429109544,89.98740639806248,69.89632330658274,55.875285068134744,45.706140325398295,bayesian | a=1 | b=1 | critical_value=0.002258300782245483
n=005000_m=02600_p=0.500_replacement=False_step=1,2588.331120525532,2567.813299290809,2498.36226917517,2315.488547804367,1829.0251780756562,1235.1230667407508,827.5023911328245,582.9237629723357,429.81201528364824,259.2263305495201,172.6131080088939,123.08474383837492,92.23106025370016,71.73478935418893,57.42417321014966,47.03136927893277,bayesian | a=1 | b=1 | critical_value=0.0020751953134958497
n=005000_m=01000_p=0.500_replacement=False_step=1,994.616296025074,984.8845333183824,961.1936714450909,930.1122407266984,870.6768567484453,772.9988997772357,643.7024316099797,507.8493768679022,390.85949057901746,238.88879145815903,159.22498350573437,113.67247396300958,85.30451262225417,66.47033901798257,53.33181458704547,43.79926351550058,bayesian | a=1 | b=1 | critical_value=0.0029296875009941405
n=005000_m=00200_p=0.500_replacement=False_step=1,198.14564202307082,195.9047177517835,192.7663641466017,190.308236625448,187.00501561202952,182.6434000774257,177.0221649306446,169.9922534511041,161.5017470826379,140.62149286576692,116.73361383026727,93.43989401219686,73.63221575947367,58.3191518685972,46.996318163463116,38.645131640047744,bayesian | a=1 | b=1 | critical_value=0.004638671875990722
