election,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7,legend
n=005000_m=01800_p=0.500_replacement=False_step=1,192.0851486432648,307.02133081784297,498.2317176388472,647.6604520910806,759.2793709516632,760.3493494434657,649.7419643051551,499.4143603585172,382.59804244400885,255.1622635195148,190.86813396891841,152.33594412337882,126.71879267505659,108.47327824480341,94.8214435054644,84.22118919706045,bravo_without_replacement | p=0.55 | alpha=0.051730468749999994
n=005000_m=01800_p=0.500_replacement=False_step=1,466.2012794672725,818.9912424689411,1143.882774134343,1192.5083531851035,1144.878460918883,1006.0998696341859,820.3296142790599,660.4131360523571,547.1119113960083,406.2703419418408,322.7848868022106,267.65173543963,228.6285642944954,199.63343311059762,177.16827467959962,159.11130983883595,bravo_without_replacement | p=0.52 | alpha=0.0839248046875
n=005000_m=00600_p=0.500_replacement=False_step=1,173.71720210279042,255.4493354470063,309.98672534800284,327.66758400516477,336.7692490020836,336.861461256958,327.90556295747984,310.2557011929518,285.1515879929864,224.47526560602319,172.63480545039204,137.93217412445622,114.67460281160022,98.11135929979164,85.71956378567931,76.09736466302493,bravo_without_replacement | p=0.55 | alpha=0.069291015625
n=005000_m=00600_p=0.500_replacement=False_step=1,299.47811407938605,385.06771330524236,411.7808376665931,415.0627386546488,411.8548624281318,402.0116408487505,385.248068677805,361.6002889245903,332.1501894316894,267.2790784944373,213.87991611929317,176.79989708056254,150.62113732609103,131.2362005613396,116.29499723826665,104.37104987954395,bravo_without_replacement | p=0.52 | alpha=0.20197070312499998
n=005000_m=01400_p=0.500_replacement=False_step=1,189.89941453102642,303.3071793115577,472.97435173038116,573.9205888790514,637.6453457939929,638.2194768184811,575.1900146712729,473.92462068598184,375.68646532238404,252.17482777850182,188.6160447783733,150.53095752270332,125.20594881366941,107.15769125881866,93.64194461130005,83.13952202162442,bravo_without_replacement | p=0.55 | alpha=0.053681640625
n=005000_m=01400_p=0.500_replacement=False_step=1,429.01396177532325,725.4735107104923,913.3004822937852,938.2978430256944,913.9207016867613,840.137322831229,726.542774007128,604.3082852861161,503.58255605930435,373.3302737024931,296.22770380352904,245.4457089490521,209.46571205902256,182.575971241664,161.72389575139283,145.17926763041072,bravo_without_replacement | p=0.52 | alpha=0.10441210937499999
n=005000_m=02200_p=0.500_replacement=False_step=1,192.0851486432753,307.0250654948227,504.7025225029825,692.8084405892363,864.7028976195635,866.5822250428827,695.8828133120105,506.04147741645335,382.8749369619191,255.16227744789853,190.8681339689243,152.33594412337882,126.71879267505659,108.47327824480341,94.8214435054644,84.22118919706045,bravo_without_replacement | p=0.55 | alpha=0.051730468749999994
n=005000_m=02200_p=0.500_replacement=False_step=1,496.1479185912381,878.0896550438256,1356.4401758430165,1441.9558602497573,1357.963773026057,1130.0395540145946,879.7950581768015,701.4660212349553,581.5593162652107,432.693494325849,344.22870764555734,285.6675764660393,243.97653970279893,212.83372346841904,188.84709818249215,169.8635900295764,bravo_without_replacement | p=0.52 | alpha=0.0702666015625
n=005000_m=02400_p=0.500_replacement=False_step=1,192.0851486432753,307.0250958734644,505.73200533273115,708.2082632639833,914.3437760512436,916.7571560243832,711.7626143301717,507.1043737935028,382.88759401871835,255.16227745867405,190.8681339689243,152.33594412337882,126.71879267505659,108.47327824480341,94.8214435054644,84.22118919706045,bravo_without_replacement | p=0.55 | alpha=0.051730468749999994
n=005000_m=02400_p=0.500_replacement=False_step=1,508.07493799733663,898.9577653890497,1453.5146413032128,1564.6302769196686,1455.7994575953037,1175.3071104648684,900.7922346802293,717.6944060548705,595.3665667477812,443.30016161027396,352.78482361548134,292.78907282532873,250.1894770216431,218.5541426605912,194.16428434494702,174.6798543428195,bravo_without_replacement | p=0.52 | alpha=0.065388671875
n=005000_m=01200_p=0.500_replacement=False_step=1,188.79239185175913,300.9613614380476,451.2994254635351,527.453880428235,572.2578855108668,572.652732698038,528.3702311674525,452.0725444373001,368.9820688213067,250.66194820342892,187.49399471350097,149.63196296736504,124.45573956092213,106.51189090667484,93.07387471574933,82.63356445933545,bravo_without_replacement | p=0.55 | alpha=0.054657226562499994
n=005000_m=01200_p=0.500_replacement=False_step=1,404.7645999659308,658.6639819401597,790.6002768798239,807.4906784879307,790.9463640257788,740.5082662361598,659.3607724880343,563.0487296613422,474.433534915932,352.101146419465,279.09206216360286,231.04948398157214,197.09884431494282,171.91305295411755,152.512549996441,137.03972007285964,bravo_without_replacement | p=0.52 | alpha=0.12002148437499999
n=005000_m=00800_p=0.500_replacement=False_step=1,181.3758311877017,281.6804889177908,371.74242676713305,404.98605154381005,422.65067496120764,422.8102239941443,405.3815952945005,372.1394928853528,328.0646312747305,239.6303753891656,180.2532434187225,143.80800632238282,119.57389548353608,102.31180389862404,89.39788255887707,79.37891614747802,bravo_without_replacement | p=0.55 | alpha=0.061486328124999996
n=005000_m=00800_p=0.500_replacement=False_step=1,345.44194720557533,490.49336900202337,542.6323905824424,549.0466866163814,542.7213732149673,523.3638882355044,490.70685707403845,446.28827844925763,395.2854524969262,302.34091867387343,239.55902171969967,198.05942286473103,168.79362227156764,147.10329469175198,130.41666432328464,117.1491940696343,bravo_without_replacement | p=0.52 | alpha=0.1648984375
