,0.5,0.7,0.58,0.52
0.9,1.0,1.0,1.0,1.0
0.925,1.0,1.0,1.0,1.0
0.95,1.0,1.0,1.0,1.0
0.955,1.0,1.0,1.0,1.0
0.9573631578947368,1.0,1.0,1.0,1.0
0.9597263157894736,1.0,1.0,1.0,1.0
0.9620894736842105,1.0,1.0,1.0,1.0
0.9644526315789473,1.0,1.0,1.0,1.0
0.9668157894736842,1.0,1.0,1.0,1.0
0.969178947368421,1.0,1.0,1.0,1.0
0.9715421052631579,1.0,1.0,1.0,1.0
0.9739052631578947,1.0,1.0,1.0,1.0
0.9762684210526316,1.0,1.0,1.0,1.0
0.9786315789473684,1.0,1.0,1.0,1.0
0.9809947368421053,1.0,1.0,1.0,1.0
0.9833578947368421,1.0,1.0,1.0,1.0
0.9857210526315789,1.0,1.0,1.0,1.0
0.9880842105263158,1.0,1.0,1.0,1.0
0.9904473684210526,0.8418921413751584,0.9999999999999972,0.9967623893956138,0.8912940282881827
0.9928105263157895,0.8333187089871177,0.9999999999999911,0.9957208326469672,0.8815003324756325
0.9951736842105263,0.7250806516631461,0.9999999999999639,0.9903921170256731,0.7946218996448969
0.9975368421052632,0.6424664291578788,0.9999999999997183,0.9797979938208121,0.7144789572141194
0.9999,0.06383878584631153,0.9999999995220292,0.7462606464781595,0.1064106543135919
