,power,power>=0.25,power>=0.50,power>=0.75,power>=0.90,powermean,risk,risk>=0.25,risk>=0.50,risk>=0.75,risk>=0.90,riskmean
0,0.9026466267658485,6.0,20.0,60.0,135.0,39.93115784973736,0.46287372066986104,13.0,135.0,135.0,135.0,84.42149178232289
1,0.9019912495090198,6.0,26.0,77.0,163.0,48.952766587533155,0.4168047629272883,16.0,163.0,163.0,163.0,107.16071438151248
2,0.9001090811752744,12.0,41.0,110.0,208.0,69.14583741151716,0.3160662220122219,72.0,208.0,208.0,208.0,155.53100211145667
3,0.9005797710639515,15.0,46.0,119.0,219.0,74.2702653476199,0.29752058470420806,97.0,219.0,219.0,219.0,167.08828341047712
4,0.9013510896500989,15.0,48.0,121.0,226.0,76.46928723825243,0.29156558021683354,108.0,226.0,226.0,226.0,173.23632222813322
5,0.9008413461210422,15.0,49.0,126.0,231.0,78.13244237954376,0.2871500440028803,115.0,231.0,231.0,231.0,177.55763508756434
6,0.9004494780611955,16.0,51.0,131.0,235.0,80.82073178110434,0.2776337888950901,139.0,235.0,235.0,235.0,182.58080936225122
7,0.9002238569887732,16.0,54.0,135.0,242.0,83.54658619784173,0.2704165694805932,161.0,242.0,242.0,242.0,189.13894642542252
8,0.9012891005275958,16.0,56.0,140.0,251.0,87.28749562184882,0.25830048854128934,213.0,251.0,251.0,251.0,198.7655722498445
9,0.9012061990758565,21.0,66.0,151.0,262.0,94.89331653399273,0.22692808751000781,262.0,262.0,262.0,262.0,215.64397235217584
10,0.9016572202617511,24.0,70.0,158.0,271.0,99.11720423946494,0.2159474116390477,271.0,271.0,271.0,271.0,225.38445988429203
11,0.9004180129592708,24.0,73.0,163.0,278.0,102.62914102917787,0.2077914961100754,278.0,278.0,278.0,278.0,232.72775533766958
12,0.9008624443825756,27.0,78.0,172.0,290.0,107.36783586179594,0.19778485572863352,290.0,290.0,290.0,290.0,244.82881729012487
13,0.900091654428366,27.0,83.0,179.0,299.0,111.97033009148453,0.18883949010235151,299.0,299.0,299.0,299.0,254.23624860229995
14,0.9000955329783248,32.0,90.0,191.0,313.0,119.66084237886642,0.17051622608686473,313.0,313.0,313.0,313.0,271.0760865625787
15,0.9009312985317534,35.0,95.0,200.0,326.0,126.30854849686403,0.15861495580118876,326.0,326.0,326.0,326.0,285.2897279528985
16,0.9016878388648049,40.0,107.0,216.0,344.0,137.07215808442265,0.13584626633273425,344.0,344.0,344.0,344.0,307.90667515371587
17,0.9011101774017746,43.0,117.0,230.0,363.0,146.16104901406572,0.12427772063802385,363.0,363.0,363.0,363.0,327.707928018045
18,0.900721503215081,54.0,131.0,249.0,386.0,160.1651401948374,0.10362034699923024,386.0,386.0,386.0,386.0,355.0326540103045
19,0.9000039364417067,64.0,150.0,274.0,413.0,176.9800771838979,0.08385905764472493,413.0,413.0,413.0,413.0,386.3168674524243
20,0.9014299799516496,79.0,174.0,307.0,454.0,201.26884453770157,0.06295606823565685,454.0,454.0,454.0,454.0,432.01137171154363
21,0.9010266958199928,110.0,220.0,365.0,521.0,244.1207273769579,0.037211984183569996,521.0,521.0,521.0,521.0,506.16394623738915
22,0.9010693811907323,284.0,441.0,622.0,810.0,454.1683898450846,0.0024691397575699785,810.0,810.0,810.0,810.0,808.5122931418125
