,power,power>=0.25,power>=0.50,power>=0.75,power>=0.90,powermean,risk,risk>=0.25,risk>=0.50,risk>=0.75,risk>=0.90,riskmean
0,0.9044263817078458,84.0,99.0,121.0,143.0,101.91235166033613,0.00020906914274624686,143.0,143.0,143.0,143.0,142.99507538991008
1,0.9042979226099152,59.0,72.0,90.0,109.0,74.61853007089584,0.001841947121163732,109.0,109.0,109.0,109.0,108.96051332822374
2,0.9071736891739484,49.0,62.0,77.0,97.0,63.97700865553297,0.00440257266497049,97.0,97.0,97.0,97.0,96.90295440410512
3,0.9053011189098211,42.0,55.0,70.0,88.0,57.032359321654454,0.007509923271109083,88.0,88.0,88.0,88.0,87.83659119143938
4,0.907105961622907,38.0,49.0,64.0,82.0,51.95638331575431,0.011345220355294136,82.0,82.0,82.0,82.0,81.75402828376745
5,0.9050097405834181,35.0,46.0,61.0,76.0,47.97389252106104,0.015465534670980727,76.0,76.0,76.0,76.0,75.68326606874558
6,0.9084801136044256,31.0,42.0,55.0,73.0,44.780488666769166,0.020248925400737403,73.0,73.0,73.0,73.0,72.5695160825235
7,0.903006639545763,30.0,39.0,52.0,67.0,41.70048452054548,0.02509366821235035,67.0,67.0,67.0,67.0,66.52333372077793
8,0.9036415045005542,27.0,38.0,49.0,64.0,39.37849807926702,0.030329572147887014,64.0,64.0,64.0,64.0,63.431140768686944
9,0.9044422541715414,27.0,35.0,46.0,61.0,37.08229238638677,0.03666506117905117,61.0,61.0,61.0,61.0,60.32235459909238
10,0.9115554459063899,24.0,32.0,45.0,61.0,35.444520665521864,0.04325672975819757,61.0,61.0,61.0,61.0,60.11855794979413
11,0.9100207499891869,23.0,32.0,43.0,58.0,33.56285095391713,0.049690668762232,58.0,58.0,58.0,58.0,57.017916019752526
12,0.9084115841485868,20.0,29.0,42.0,55.0,31.989537323100972,0.0560280539935641,55.0,55.0,55.0,55.0,53.9618466760976
13,0.9068415491401708,20.0,29.0,39.0,52.0,30.32437016066344,0.06329430967882052,52.0,52.0,52.0,52.0,50.89753521771679
14,0.9121784322084423,19.0,28.0,37.0,52.0,29.247324585696553,0.07108924141577858,52.0,52.0,52.0,52.0,50.669220556812995
15,0.9099695667315959,19.0,25.0,36.0,49.0,27.774761657634045,0.0791787728203655,49.0,49.0,49.0,49.0,47.618436926431116
16,0.9008644464874338,16.0,25.0,34.0,47.0,26.347790292428968,0.08477623872231445,47.0,47.0,47.0,47.0,45.478613185411014
17,0.9120985848804187,16.0,22.0,33.0,46.0,25.488932820402493,0.09614986717307328,46.0,46.0,46.0,46.0,44.35375931976951
18,0.9022696532469785,15.0,22.0,33.0,44.0,24.136191127378325,0.1014643799945234,44.0,44.0,44.0,44.0,42.22551089248618
19,0.9135980948316137,15.0,19.0,30.0,43.0,23.28357723215529,0.11494234868889158,43.0,43.0,43.0,43.0,41.07517094900001
