legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bayesian | a=100 | b=100 | critical_value=1e-12,500.0,500.0,500.0,500.0,500.0,500.0,491.0,481.0,473.0,450.0,417.0,385.0,350.0,320.0,291.0,266.0
bayesian | a=500 | b=500 | critical_value=1e-12,500.0,500.0,500.0,500.0,500.0,500.0,491.0,481.0,473.0,450.0,421.0,390.0,361.0,333.0,309.0,285.0
bayesian | a=1000 | b=1000 | critical_value=1e-12,500.0,500.0,500.0,500.0,500.0,500.0,491.0,481.0,473.0,450.0,422.0,392.0,363.0,338.0,312.0,291.0
