legend,0.5,0.52,0.55,0.57,0.59,0.62,0.7
bravo    | p=0.7 | alpha=0.08681140431529456,30.0,50.0,90.0,130.0,170.0,160.0,50.0
bravo    | p=0.55 | alpha=0.09980102539062499,340.0,370.0,360.0,300.0,230.0,160.0,90.0
