legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bayesian | a=1 | b=1 | critical_value=0.030273437500939453,1000.0967137612347,1071.0521597293125,1389.1650620332055,1484.1766884483955,1474.300254832238,1367.9772233985154,1207.9494580753626,1078.9214317399303,1019.855392731566,1000.3735317392814,1000.0012948846913,1000.0000007369065,1000.000000000061,1000.0,1000.0,1000.0
max_sprt | alpha=0.18441015624999998,1000.0720838066903,1061.5447070022647,1374.3169756638506,1479.4112360360134,1479.927494489863,1382.1975664899496,1223.9344795225325,1088.5539810040993,1023.1876480483804,1000.4723646630757,1000.0017795654144,1000.0000011040164,1000.0000000000998,1000.0,1000.0,1000.0
bravo    | p=0.7 | alpha=1,1000.0,1000.0,1000.000000004548,1000.000000442486,1000.0000269544952,1000.0010309940843,1000.0247965154317,1000.3748628693404,1003.5471066309053,1072.3950200711404,1198.1719502340225,1094.126206599826,1005.7782244422948,1000.048876008027,1000.00005776612,1000.0000000079452
bravo    | p=0.55 | alpha=0.8126875,1000.0005948555697,1002.8074557156624,1067.6084871893768,1152.9442386472451,1218.3395887365334,1211.3302405521836,1137.60585740353,1056.2310607469647,1014.0581550430321,1000.2307352001036,1000.0006772559998,1000.0000003242644,1000.0000000000224,1000.0,1000.0,1000.0
clip     | alpha=0.37172265625,1000.0689373741001,1058.404957134234,1359.1290772121167,1461.534121976205,1460.0225077278394,1360.9643730716443,1205.9560424552244,1078.6810564876255,1019.8444759153653,1000.3735304779905,1000.0012948846884,1000.0000007369065,1000.000000000061,1000.0,1000.0,1000.0
bravo_without_replacement | p=0.7 | alpha=1,1000.0,1000.0,1000.0000000027347,1000.0000002779603,1000.0000176879587,1000.0007066585533,1000.0177496603771,1000.2802005663873,1002.7695051782376,1062.115070863595,1184.831794586405,1091.8914213012843,1005.7646468925017,1000.0488746603028,1000.0000577661183,1000.0000000079452
bravo_without_replacement | p=0.55 | alpha=0.8126875,1000.0005948555697,1002.8074557156624,1067.6084871893768,1152.9442386472451,1218.3395887365334,1211.3302405521836,1137.60585740353,1056.2310607469647,1014.0581550430321,1000.2307352001036,1000.0006772559998,1000.0000003242644,1000.0000000000224,1000.0,1000.0,1000.0
truncated_bayesian | a=1 | b=1 | critical_value=0.7460962890625,1000.0235359005819,1029.9232896508076,1260.503623592801,1374.7880669960527,1395.484701180023,1318.003335078967,1182.465701156511,1068.870139864081,1016.8821777013237,1000.2942000449538,1000.0009383780687,1000.0000004898393,1000.0000000000372,1000.0,1000.0,1000.0
bayesian_with_replacement | a=1 | b=1 | critical_value=1e-11,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
