legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo_without_replacement | p=0.7 | alpha=0.058193725585937495,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,170.0,64.0,44.0,34.0,27.0,24.0,19.0,19.0
bravo_without_replacement | p=0.55 | alpha=0.048803710937499994,2000.0,2000.0,2000.0,2000.0,991.0,522.0,362.0,280.0,230.0,171.0,135.0,114.0,97.0,87.0,76.0,70.0
bravo_without_replacement | p=0.51 | alpha=0.21367773437499998,2000.0,2000.0,2000.0,2000.0,1310.0,937.0,736.0,605.0,519.0,400.0,330.0,277.0,241.0,213.0,193.0,175.0
