legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo_without_replacement | p=0.7 | alpha=0.058193725585937495,47.0,59.0,72.0,79.0,92.0,107.0,127.0,152.0,195.0,371.0,689.0,460.0,220.0,135.0,95.0,72.0
bravo_without_replacement | p=0.55 | alpha=0.048803710937499994,335.0,614.0,1146.0,1449.0,1588.0,1579.0,1413.0,1094.0,787.0,465.0,322.0,244.0,196.0,160.0,137.0,118.0
bravo_without_replacement | p=0.51 | alpha=0.21367773437499998,1068.0,1803.0,1889.0,1885.0,1853.0,1748.0,1525.0,1223.0,986.0,696.0,535.0,432.0,362.0,312.0,271.0,241.0
