legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo    | p=0.7 | alpha=0.05,14.0,17.0,19.0,19.0,19.0,22.0,22.0,25.0,27.0,32.0,40.0,35.0,30.0,25.0,19.0,19.0
bravo    | p=0.55 | alpha=0.05,137.0,196.0,278.0,337.0,384.0,384.0,337.0,278.0,232.0,171.0,135.0,114.0,97.0,85.0,76.0,70.0
bravo    | p=0.51 | alpha=0.05,1115.0,1538.0,1622.0,1622.0,1598.0,1538.0,1433.0,1283.0,1115.0,853.0,687.0,576.0,497.0,439.0,390.0,354.0
