legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo    | p=0.7 | alpha=0.05,32.0,40.0,47.0,52.0,60.0,67.0,75.0,87.0,105.0,173.0,276.0,203.0,118.0,80.0,60.0,47.0
bravo    | p=0.55 | alpha=0.05,251.0,424.0,737.0,975.0,1137.0,1139.0,977.0,737.0,544.0,341.0,247.0,192.0,156.0,133.0,114.0,99.0
bravo    | p=0.51 | alpha=0.05,1521.0,1879.0,1909.0,1909.0,1901.0,1879.0,1825.0,1715.0,1521.0,1126.0,879.0,719.0,608.0,526.0,465.0,414.0
