,power,power>=0.25,power>=0.50,power>=0.75,power>=0.90,powermean,risk,risk>=0.25,risk>=0.50,risk>=0.75,risk>=0.90,riskmean
0,0.9005766823445505,210.0,414.0,624.0,755.0,415.0140163949311,0.31705567470638796,579.0,755.0,755.0,755.0,626.7634870560763
1,0.9019752996861728,255.0,470.0,667.0,784.0,457.3607343470368,0.2648004429747518,745.0,784.0,784.0,784.0,677.7045824814396
2,0.9011932170231082,323.0,547.0,719.0,813.0,511.4665385996484,0.20175513241190607,813.0,813.0,813.0,813.0,733.9739971618739
3,0.9031879675122847,342.0,563.0,729.0,821.0,525.4722473591879,0.18726079471169282,821.0,821.0,821.0,821.0,748.1116890982895
4,0.9042902335547965,350.0,571.0,735.0,825.0,531.8744039020504,0.18072972257482514,825.0,825.0,825.0,825.0,754.7607721584616
5,0.9059196697701941,361.0,582.0,742.0,828.0,539.5478264615931,0.17330863594485135,829.0,829.0,829.0,829.0,762.0461103364936
6,0.900515979864132,369.0,588.0,746.0,830.0,545.290993567681,0.16585188445931465,830.0,830.0,830.0,830.0,765.9700042268882
7,0.9020526838330746,382.0,600.0,752.0,834.0,554.1719462775252,0.15775050783889522,834.0,834.0,834.0,834.0,773.6422993088582
8,0.9006881150456613,392.0,611.0,758.0,836.0,560.7278034114886,0.1506958906555575,836.0,836.0,836.0,836.0,778.5971766046932
9,0.9008626645607115,407.0,619.0,764.0,840.0,570.2120519509267,0.14181541805261996,840.0,840.0,840.0,840.0,786.3252490371373
10,0.9018602856579122,415.0,627.0,770.0,844.0,577.4944192856159,0.13491343565152714,844.0,844.0,844.0,844.0,793.0427202884706
11,0.9060031798584888,434.0,643.0,779.0,849.0,588.1320108080338,0.12627961045740552,850.0,850.0,850.0,850.0,802.6886584147584
12,0.9017839185493743,451.0,652.0,783.0,853.0,597.9123057753502,0.11706052997043385,853.0,853.0,853.0,853.0,809.4169945616744
13,0.903036264965415,461.0,662.0,789.0,857.0,607.5556452392952,0.10889080858275049,857.0,857.0,857.0,857.0,816.7425177606659
14,0.9028384291075912,482.0,678.0,797.0,861.0,619.7072886992224,0.09896614606743459,861.0,861.0,861.0,861.0,824.8165503955464
15,0.9019544516111507,505.0,691.0,807.0,865.0,632.1261320261231,0.08930887704285881,865.0,865.0,865.0,865.0,832.7442852140244
16,0.909262264228769,525.0,705.0,814.0,872.0,646.1678758643023,0.07981520319773433,873.0,873.0,873.0,873.0,844.4717232973607
17,0.9020908015323674,548.0,722.0,822.0,876.0,661.1695424190052,0.06874505618722355,876.0,876.0,876.0,876.0,851.726144443847
18,0.9034310893482979,575.0,738.0,832.0,882.0,678.1129977892077,0.05794388194540727,882.0,882.0,882.0,882.0,861.8183557997522
19,0.9076954181862047,610.0,758.0,845.0,890.0,699.8292530991882,0.04593934081904745,890.0,890.0,890.0,890.0,874.3926252360995
20,0.9033080356265907,649.0,783.0,857.0,897.0,725.6928534210289,0.03306081615397276,897.0,897.0,897.0,897.0,886.0643977308896
21,0.9002282204000871,706.0,813.0,876.0,908.0,763.5185185404756,0.018600762823741252,908.0,908.0,908.0,908.0,902.1106859704375
22,0.9225659255264953,843.0,892.0,921.0,940.0,866.886754001632,0.0010778475250405543,941.0,941.0,941.0,941.0,940.7128870394508
