legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo_without_replacement | p=0.7 | alpha=0.058559570312499996,14.0,16.0,16.0,16.0,19.0,19.0,22.0,24.0,24.0,29.0,32.0,29.0,27.0,22.0,19.0,16.0
bravo_without_replacement | p=0.55 | alpha=0.0780712890625,111.0,149.0,176.0,187.0,193.0,193.0,189.0,176.0,164.0,134.0,111.0,92.0,80.0,71.0,63.0,57.0
bravo_without_replacement | p=0.52 | alpha=0.2361162109375,194.0,247.0,267.0,269.0,267.0,259.0,247.0,230.0,212.0,173.0,145.0,125.0,108.0,96.0,86.0,78.0
