legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo_without_replacement | p=0.7 | alpha=0.058559570312499996,29.0,39.0,47.0,49.0,57.0,64.0,72.0,82.0,94.0,132.0,155.0,142.0,105.0,74.0,57.0,47.0
bravo_without_replacement | p=0.55 | alpha=0.0780712890625,210.0,306.0,361.0,376.0,382.0,382.0,376.0,361.0,338.0,271.0,208.0,164.0,134.0,113.0,96.0,86.0
bravo_without_replacement | p=0.52 | alpha=0.2361162109375,336.0,407.0,421.0,426.0,421.0,417.0,407.0,391.0,365.0,297.0,236.0,194.0,161.0,141.0,123.0,108.0
