legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo_without_replacement | p=0.7 | alpha=0.058559570312499996,19.0,24.0,27.0,29.0,32.0,34.0,39.0,44.0,49.0,59.0,67.0,64.0,52.0,39.0,34.0,29.0
bravo_without_replacement | p=0.55 | alpha=0.0780712890625,151.0,216.0,260.0,275.0,283.0,283.0,275.0,260.0,239.0,191.0,151.0,122.0,103.0,88.0,78.0,69.0
bravo_without_replacement | p=0.52 | alpha=0.2361162109375,257.0,328.0,348.0,350.0,348.0,340.0,328.0,308.0,281.0,228.0,186.0,155.0,133.0,114.0,102.0,92.0
