,0.7,0.58,0.52
0.005,0.0029084291335863604,0.0029084291335863604,0.0029084291335863604
0.01263157894736842,0.008624283983833456,0.008624283983833456,0.008624283983833456
0.02026315789473684,0.014786771625578128,0.014786771625578128,0.014786771625578128
0.027894736842105264,0.02119770536852734,0.02119770536852734,0.02119770536852734
0.035526315789473684,0.02774312558267025,0.02774312558267025,0.02774312558267025
0.0431578947368421,0.034441805715007844,0.034441805715007844,0.034441805715007844
0.05078947368421052,0.041149482290098724,0.041149482290098724,0.041149482290098724
0.05842105263157894,0.04800834395919889,0.04800834395919889,0.04800834395919889
0.06605263157894736,0.054846429507999866,0.054846429507999866,0.054846429507999866
0.0736842105263158,0.06168422993512378,0.06168422993512378,0.06168422993512378
0.08131578947368422,0.06863767284696651,0.06863767284696651,0.06863767284696651
0.08894736842105264,0.0756199460647018,0.0756199460647018,0.0756199460647018
0.09657894736842106,0.08259658122581351,0.08259658122581351,0.08259658122581351
0.10421052631578948,0.0895440101991288,0.0895440101991288,0.0895440101991288
0.1118421052631579,0.096586895540453,0.096586895540453,0.096586895540453
0.11947368421052632,0.10362406916786038,0.10362406916786038,0.10362406916786038
0.12710526315789472,0.11081462452953551,0.11081462452953551,0.11081462452953551
0.13473684210526315,0.11793104941861036,0.11793104941861036,0.11793104941861036
0.1423684210526316,0.12487567167561502,0.12487567167561502,0.12487567167561502
0.15,0.13196963110964763,0.13196963110964763,0.13196963110964763
