legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo    | p=0.7 | alpha=0.05,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,77.0,47.0,37.0,30.0,25.0,22.0,19.0
bravo    | p=0.55 | alpha=0.05,1000.0,1000.0,1000.0,1000.0,1000.0,737.0,415.0,304.0,242.0,175.0,139.0,116.0,99.0,87.0,76.0,70.0
bravo    | p=0.51 | alpha=0.05,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,950.0,730.0,600.0,511.0,449.0,398.0,360.0
