legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bayesian | a=100 | b=100 | critical_value=0.0312500000009375,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,385.0,279.0,215.0,173.0,144.0,123.0,106.0
bayesian | a=500 | b=500 | critical_value=0.10107421875079783,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,386.0,293.0,237.0,196.0,168.0,143.0,127.0
bayesian | a=1000 | b=1000 | critical_value=0.14843750000070313,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,388.0,300.0,242.0,201.0,171.0,149.0,133.0
