,0.5,0.7,0.58,0.52
0.005,0.0034149077423159015,0.9998031540895678,0.20774645751943505,0.008951125166236444
0.01263157894736842,0.007909016554744252,0.9999536248085688,0.3128368698758944,0.019405163818763334
0.02026315789473684,0.01228292904948741,0.9999800440032163,0.38035359853309825,0.028914975814941832
0.027894736842105264,0.018982702075672715,0.9999897479764206,0.43467461627008147,0.04110956115987898
0.035526315789473684,0.021870213658136087,0.9999924690154999,0.46855143018175793,0.04788055045505863
0.0431578947368421,0.028498250166451293,0.9999959015631678,0.5106492299934317,0.05961492427302344
0.05078947368421052,0.03392836305808698,0.9999968867375801,0.53861415837538,0.06893297966550321
0.05842105263157894,0.036981584907502786,0.9999974162757074,0.5600466108030878,0.07546731530605337
0.06605263157894736,0.04409014918176942,0.9999984766208405,0.5906780189144466,0.08726610342287705
0.0736842105263158,0.04890350797071792,0.9999988152411314,0.6120285893229482,0.09561259325993743
0.08131578947368422,0.05820084762389383,0.999998941040589,0.6291112058890368,0.10860133563747876
0.08894736842105264,0.06099004521376039,0.9999991676067476,0.6475221911578012,0.11476907817441408
0.09657894736842106,0.0645652536284045,0.9999994496873152,0.6648662517975664,0.12151952685233865
0.10421052631578948,0.06874159090550348,0.9999995277713334,0.6788991484139791,0.12893775897886586
0.1118421052631579,0.07767546502974904,0.9999996048686427,0.6945293944362152,0.14151912996468696
0.11947368421052632,0.08269361895259157,0.9999996464674236,0.7059675758853663,0.14944244729792117
0.12710526315789472,0.08609743532790656,0.9999997098365883,0.7187018394340794,0.1559713068363778
0.13473684210526315,0.08876793071641889,0.9999998095161129,0.7325762294937098,0.16158971697717417
0.1423684210526316,0.10334445429835014,0.9999998297144076,0.7450885895420967,0.17885474567590046
0.15,0.1071090632440934,0.9999998598261891,0.756150663058811,0.1855925921050795
