legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo_without_replacement | p=0.7 | alpha=0.19164702224731445,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,40.0,40.0,40.0,40.0,40.0,20.0,20.0,20.0
bravo_without_replacement | p=0.55 | alpha=0.09660742187499999,100.0,140.0,180.0,180.0,200.0,200.0,180.0,180.0,160.0,140.0,120.0,100.0,80.0,80.0,80.0,60.0
bravo_without_replacement | p=0.52 | alpha=0.24879882812499998,200.0,240.0,280.0,280.0,280.0,280.0,260.0,240.0,220.0,180.0,160.0,140.0,120.0,100.0,100.0,80.0
