legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo    | p=0.7 | alpha=0.05,50.0,70.0,90.0,90.0,110.0,120.0,130.0,150.0,200.0,290.0,340.0,320.0,240.0,150.0,110.0,80.0
bravo    | p=0.55 | alpha=0.05,300.0,420.0,460.0,460.0,470.0,470.0,470.0,460.0,450.0,400.0,320.0,250.0,200.0,170.0,140.0,120.0
bravo    | p=0.51 | alpha=0.05,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,480.0,450.0
